8,Baroness,Bettie,Delcroix,F,22,44854C,"Wavey light chestnut neck length hair, brown skin",Provider,"Self-sacrifice for kin (4)  (Family roll 4, don't really want her back?)","Nature-focused, Weak-willed",Noble-1,Liaison-1,71758,TAS (1),Wardn,8,Freed,Abandonment
8,Baroness,Tawanda,Németh,F,30,7BA67C,"Straight medium black waist length hair, black skin",Counselor,Slaying of kin unrecognized (6),"Pensive, Nervous",Noble-3,"Computer-1,Admin-1,Bribery-1,Medical-1",232390,Yacht (1) HighPsg (1),Gram,8,Freed,Abandonment
4,Dame,Ashely,Pollard,F,30,A35B7B,"Frizzed medium auburn neck length hair, tanned skin",Fieldmarshal,Comedy (3),"Unselfish, Violent",Citizen-3,Streetwise-2,9314,Blade (1),Steel,4,Freed,Abandonment
8,Knight,Chung,Piquet,M,22,76A26B,"Curly light silver close cropped hair, orange skin",Provider,Recovery of a lost one (4),"Proper, Mischievous",Noble-1,"Carousing-1,Brawling-1",107206,HighPsg (1),Capon,8,Freed,Abandonment
5,Knight,Nathanial,Piquet,M,30,88786B,"Straight light chestnut neck length hair, tanned skin",Crafter,Comedy (4),"Friendly, Cruel",Noble-3,"Gabmling-2,Vehicle-1,Hunting-1",123839,HighPsg (1) Gun (1),Zaibon,5,Freed,Abandonment
12,,Beinon ,Daniels,M,28,583573,Wavy full yellow short hair tanned skin,,,,Citizen-2,"Mechanical-1, Vehicle(MineCrawler)-2, Leader-1, Gambling-0, Brawling-0",,,Haearn,12,Freed,Abandonment
12,,Nala,,F,25,976875,"Chocolate skin, short gray hair",,,,Citizen-1,Eng-2,,,Shirene,12,Freed,Abandonment
11,,Darius,Briand,M,22,982655,"Frizzed light yellow neck length hair, chocolate skin",Protector,Overcoming the monster (6),"Witty, Withdrawn",Other-1,Brawling-1,69319,HighPsg (1),Pimane,11,Freed,Abandonment
11,,John,Dias,M,22,98C438,"Curly medium black waist length hair, black skin",Healer,Fatal imprudence (2),"Flirtatious, Disrespectful",Citizen-1,"Steward-1,Streetwise-1",2658,Middle Passage (1),Smoug,11,Freed,Abandonment
11,,Winfred,Kerr,M,22,436A65,"Wavey medium green short hair, silver skin",Composer,Recovery of a lost one (2),"Organized, Possessive",Other-1,Bribery-2,19135,Gun (1),Zaibon,11,Freed,Abandonment
10,,Burl,Faivre,M,38,C3C987,"Wavey medium black neck length hair, albino skin",Healer,Crime pursued by vengeance (4),"Efficient, Uncouth",Citizen-5,"Mechanical-2,Blade-2,Gambling-1",13471,Blade (1) Low Passage (1),Shirene,10,Freed,Abandonment
10,,Heather,Bouton,F,30,A778B8,"Wavey medium black close cropped hair, medium skin",Inspector,Deliverance (1),"Obedient, Selfish",Citizen-3,"Steward-1,Bribery-1",10217,Middle Passage (1),Drolraw,10,Freed,Abandonment
10,,Luis,Stanton,M,38,8A56B8,"Frizzed light chestnut shoulder length hair, medium skin",Champion,Rags to riches (4),"Ambitious, Disorganized",Citizen-5,"Gambling-4,Gun-1",10362,Gun (1) Low Passage (1),Sacnoth,10,Freed,Abandonment
9,,Clifford,Oliver,M,30,A763A7,"Straight medium green waist length hair, tanned skin",Counselor,Loss of loved ones (4),"Sophisticated, Whiny",Citizen-3,"Vehicle-1,Bribery-2",11252,Middle Passage (1) Blade (1),Derchon,9,Freed,Abandonment
9,,Dahlia,Pataki,F,38,953866,"Curly light auburn short hair, tanned skin",Supervisor,Madness (6),"Adventurous, Violent",Citizen-5,"Steward-1,Brawling-2,Gambling-1,Blade-2",15317,,Lunion,9,Freed,Abandonment
9,,Harris,Oliver,M,38,8949A9,"Straight medium brown neck length hair, albino skin",Healer,Discovery of the dishonour of a loved one (1),"Intelligent, Gossipy",Citizen-5,"Streetwise-1,Bribery-1,Computer-1",21805,Blade (1),Shirene,9,Freed,Abandonment
9,,Princess,Kidd,F,22,6A6793,"Frizzed light brown neck length hair, brown skin",Architect,Erroneous judgment (1),"Flirtatious, Unintelligent",Other-1,"Blade-1,Bribery-1",16888,HighPsg (1),Sharrip,9,Freed,Abandonment
9,,Tanner,McMillan,M,22,BA6B45,"Straight medium blond short hair, albino skin",Mastermind,Ambition (3),"Imaginative, Devious",Other-1,GunCbt-1,43735,,Pimane,9,Freed,Abandonment
9,,Vinita,Garnier,F,26,5A62B9,"Curly medium white neck length hair, tanned skin",Provider,Supplication (2),"Trusting, Sleazy",Citizen-2,"Computer-1,Blade-2",7687,Blade (1),Tenalphi,9,Freed,Abandonment
9,,Winfred,Lafond,M,30,879979,"Straight medium blond short hair, chocolate skin",Mastermind,Enmity of kin (4),"Professional, Devious",Citizen-3,"Gambling-1,Mechanical-1,Admin-1,Electronics-1",9088,Gun (1),Caliburn,9,Freed,Abandonment
8,,Burl,Owens,M,26,84799A,"Straight medium brown waist length hair, chocolate skin",Healer,The enigma (2),"Diplomatic, Martyr",Citizen-2,"Streetwise-1,Mechanical-1,Medical-1",7678,Middle Passage (1),Derchon,8,Freed,Abandonment
8,,Celena,George,F,30,A58B99,"Frizzed medium white short hair, silver skin",Mastermind,Rivalry of kin (6),"Nurturing, Vindictive",Citizen-3,"Gambling-1,Mechanical-1,Vehicle-1",14408,Blade (1),Biter,8,Freed,Abandonment
8,,Dan,Bakken,F,26,373C79,"Straight medium yellow short hair, tanned skin",Champion,Mistaken jealousy (2),"Cooperative, Promiscuous",Citizen-2,"Bribery-1,Vehicle-2",13892,Low Passage (1),Tenalphi,8,Freed,Abandonment
8,,Garry,Rácz,M,38,68BB94,"Curly light black close cropped hair, chocolate skin",Protector,Voyage and return (1),"Honorable, Pessimistic",Other-5,"Forgery-1,Electronic-2,Brawling-1,Bribery-2",48224,,Zaibon,8,Freed,Abandonment
8,,Margeret,Johnsson,F,34,56AAC9,"Wavey medium black short hair, medium skin",Architect,Comedy (3),"Organized, Paranoid",Citizen-4,Brawling-2,15435,Middle Passage (1),Sharrip,8,Freed,Abandonment
